epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,610.345,1.27161,0.83871,0.0059,0.85033,0.7423,0.8513,0.56421,1.23964,0.85618,0.00892,0.0011684,0.0011684,0.0011684
44,622.398,1.28461,0.84769,0.00574,0.85005,0.75488,0.8577,0.56265,1.25421,0.84426,0.00928,0.0011486,0.0011486,0.0011486
45,635.123,1.26507,0.81359,0.00594,0.85558,0.73556,0.84586,0.56035,1.26391,0.86967,0.0094,0.0011288,0.0011288,0.0011288
46,647.227,1.27081,0.82493,0.00571,0.85004,0.76436,0.86219,0.57555,1.22166,0.83337,0.00879,0.001109,0.001109,0.001109
47,660.211,1.26844,0.81515,0.00582,0.85271,0.7631,0.86338,0.57237,1.24051,0.83559,0.00896,0.0010892,0.0010892,0.0010892
48,672.46,1.28036,0.82778,0.00573,0.85177,0.7635,0.86268,0.57453,1.23045,0.82329,0.00886,0.0010694,0.0010694,0.0010694
49,684.576,1.24895,0.81424,0.00572,0.84644,0.76133,0.85814,0.56838,1.23551,0.82905,0.00893,0.0010496,0.0010496,0.0010496
50,696.926,1.25128,0.8025,0.00571,0.84767,0.76638,0.86189,0.56963,1.21795,0.84289,0.00883,0.0010298,0.0010298,0.0010298
51,709.449,1.24095,0.79777,0.00561,0.857,0.75766,0.85744,0.57026,1.22279,0.84618,0.00868,0.00101,0.00101,0.00101
52,721.355,1.26755,0.81038,0.00573,0.85193,0.76439,0.86566,0.57542,1.22485,0.81761,0.00878,0.0009902,0.0009902,0.0009902
53,733.54,1.26601,0.79746,0.00565,0.8449,0.77559,0.86809,0.57647,1.21374,0.82244,0.00877,0.0009704,0.0009704,0.0009704
54,745.364,1.232,0.79785,0.00556,0.85012,0.76895,0.86607,0.58072,1.21096,0.83284,0.00878,0.0009506,0.0009506,0.0009506
55,757.488,1.24725,0.79617,0.00556,0.84959,0.76855,0.8625,0.57751,1.21547,0.8261,0.0088,0.0009308,0.0009308,0.0009308
56,769.669,1.2351,0.79188,0.0056,0.85184,0.7738,0.86443,0.57828,1.21549,0.81781,0.00869,0.000911,0.000911,0.000911
